Date,"BTC_('Close', 'BTC-USD')","BTC_('Volume', 'BTC-USD')","ETH_('Close', 'ETH-USD')","ETH_('Volume', 'ETH-USD')","BNB_('Close', 'BNB-USD')","BNB_('Volume', 'BNB-USD')","SP500_('Close', '^GSPC')","SP500_('Volume', '^GSPC')","DXY_('Close', 'DX-Y.NYB')","DXY_('Volume', 'DX-Y.NYB')"
2020-01-02,6985.47021484375,20802083465,127.4101791381836,8032709256,13.027010917663574,156376427,3257.85009765625,3459930000,96.8499984741211,0
2020-01-03,7344.88427734375,28111481032,134.1717071533203,10476845358,13.660451889038086,173683857,3234.85009765625,3484700000,96.83999633789062,0
2020-01-06,7769.21923828125,23276261598,144.3041534423828,9093747121,14.957807540893556,224800409,3246.280029296875,3702460000,96.66999816894533,0
2020-01-07,8163.6923828125,28767291327,143.5439910888672,9257954672,15.009249687194824,191948560,3237.179931640625,3435910000,96.9800033569336,0
2020-01-08,8079.86279296875,31672559265,141.2581329345703,9387194957,14.602933883666992,183632222,3253.050048828125,3726840000,97.3000030517578,0
2020-01-09,7879.0712890625,24045990466,138.9792022705078,7697325348,14.498313903808594,169699829,3274.699951171875,3641230000,97.4499969482422,0
2020-01-10,8166.55419921875,28714583844,143.96377563476562,9084816203,15.025826454162598,200173072,3265.35009765625,3214580000,97.36000061035156,0
2020-01-13,8144.1943359375,22482910688,144.22659301757812,8378529470,15.227272033691406,211785744,3288.1298828125,3459390000,97.3499984741211,0
2020-01-14,8827.7646484375,44841784107,165.95535278320312,16712318373,16.626121520996094,299316969,3283.14990234375,3687620000,97.37000274658205,0
2020-01-15,8807.0107421875,40102834650,166.23068237304688,15173694057,17.65481185913086,380806616,3289.2900390625,3721490000,97.2300033569336,0
2020-01-16,8723.7861328125,31313981931,164.39100646972656,13735193018,17.076946258544922,260423404,3316.81005859375,3540580000,97.31999969482422,0
2020-01-17,8929.0380859375,36372139320,170.7799530029297,14997091826,18.13519859313965,347229168,3329.6201171875,3726220000,97.61000061035156,0
2020-01-21,8745.89453125,24097418512,169.69715881347656,9789369362,18.127666473388672,295922233,3320.7900390625,4104840000,97.52999877929688,0
2020-01-22,8680.8759765625,22600204051,168.29415893554688,9209827928,17.79836082458496,237634401,3321.75,3623780000,97.52999877929688,0
2020-01-23,8406.515625,25770680779,162.92855834960938,10396868698,17.021404266357422,221009513,3325.5400390625,3766710000,97.69000244140624,0
2020-01-24,8445.4345703125,24397913026,163.05117797851562,10657671162,17.047409057617188,213341615,3295.469970703125,3708780000,97.8499984741211,0
2020-01-27,8909.8193359375,28647338393,170.93089294433594,11004476145,17.691341400146484,227584506,3243.6298828125,3831050000,97.95999908447266,0
2020-01-28,9358.58984375,34398744403,176.3703155517578,11772875064,18.115135192871094,257579475,3276.239990234375,3531570000,98.0199966430664,0
2020-01-29,9316.6298828125,30682598115,175.0503387451172,10725267311,17.912776947021484,221674739,3273.39990234375,3600250000,97.98999786376952,0
2020-01-30,9508.9931640625,32378792851,184.6904754638672,12604789338,18.590408325195312,264686498,3283.659912109375,3790350000,97.87000274658205,0
2020-01-31,9350.529296875,29432489719,180.16017150878903,11728616394,18.21097946166992,245035922,3225.52001953125,4529700000,97.38999938964844,0
2020-02-03,9293.521484375,30934096509,189.8650665283203,12392875241,18.46275520324707,227749150,3248.919921875,3760460000,97.8000030517578,0
2020-02-04,9180.962890625,29893183716,189.25059509277344,11714191695,18.177366256713867,213533737,3297.590087890625,3996900000,97.95999908447266,0
2020-02-05,9613.423828125,35222060874,204.2302398681641,14865434435,19.215049743652344,301486499,3334.68994140625,4121480000,98.2699966430664,0
2020-02-06,9729.8017578125,37628823716,212.33908081054688,16425589683,20.59526252746582,394704716,3345.780029296875,3887250000,98.5,0
2020-02-07,9795.943359375,34522718159,222.7260589599609,16673443564,22.062257766723636,485529457,3327.7099609375,3733920000,98.68000030517578,0
2020-02-10,9856.611328125,39386548075,223.522705078125,16210008511,25.21831512451172,730144278,3352.090087890625,3462730000,98.83000183105467,0
2020-02-11,10208.236328125,37648059389,235.8511962890625,16964695963,25.63740348815918,567226060,3357.75,3762940000,98.72000122070312,0
2020-02-12,10326.0546875,43444303830,265.4061279296875,24545049386,26.46676254272461,492328618,3379.449951171875,3930910000,99.0500030517578,0
2020-02-13,10214.3798828125,49356071373,268.0992431640625,25801317504,25.440099716186523,463998187,3373.93994140625,3500890000,99.06999969482422,0
2020-02-14,10312.1162109375,43338264162,284.2174987792969,23558253463,26.296958923339844,471534694,3380.159912109375,3419700000,99.12000274658205,0
2020-02-18,10141.99609375,47271023953,281.944580078125,26511477187,24.058177947998047,392689678,3370.2900390625,3750400000,99.45999908447266,0
2020-02-19,9633.38671875,46992019710,259.76397705078125,22679414413,22.333511352539062,298250332,3386.14990234375,3614200000,99.5999984741211,0
2020-02-20,9608.4755859375,44925260237,257.949462890625,23229828870,22.22914695739746,358656850,3373.22998046875,4019180000,99.87000274658205,0
2020-02-21,9686.44140625,40930547513,265.6006164550781,20867593292,22.184877395629883,396181352,3337.75,3908780000,99.26000213623048,0
2020-02-24,9650.1748046875,45080496648,265.2164306640625,22400845640,22.04412651062012,357640680,3225.889892578125,4851160000,99.29000091552734,0
2020-02-25,9341.705078125,42515259129,247.81759643554688,21878882134,20.342470169067383,356163893,3128.2099609375,5596760000,98.97000122070312,0
2020-02-26,8820.5224609375,50420050762,225.6802673339844,26235617201,18.799131393432617,443909390,3116.389892578125,5484650000,99.0,0
2020-02-27,8784.494140625,45470195695,226.75338745117188,25645522790,19.122568130493164,406092296,2978.760009765625,7064710000,98.44000244140624,0
2020-02-28,8672.455078125,44605450443,226.760498046875,22563530559,18.85483741760254,461435237,2954.219970703125,8569570000,98.12999725341795,0
2020-03-02,8869.669921875,42857674409,230.5697784423828,20305587789,19.814064025878903,428747453,3090.22998046875,6381330000,97.36000061035156,0
2020-03-03,8787.7861328125,42386715821,224.4796295166016,19853178572,19.637189865112305,355662760,3003.3701171875,6376510000,97.1500015258789,0
2020-03-04,8755.24609375,34746706368,224.5179748535156,16567075208,19.95918846130371,363898093,3130.1201171875,5073020000,97.33999633789062,0
2020-03-05,9078.7626953125,39698054597,229.2681884765625,18201291785,20.80203056335449,424802925,3023.93994140625,5579290000,96.81999969482422,0
2020-03-06,9122.5458984375,40826885651,243.5252990722656,19374772256,21.288389205932617,449180749,2972.3701171875,6555240000,95.9499969482422,0
2020-03-09,7923.64453125,46936995808,201.986328125,23645428606,16.570743560791016,417649798,2746.56005859375,8441290000,94.9000015258789,0
2020-03-10,7909.7294921875,42213940994,200.76724243164065,18344930072,16.875654220581055,360300206,2882.22998046875,7642040000,96.41000366210938,0
2020-03-11,7911.43017578125,38682762605,194.8685302734375,16984790291,16.52483367919922,288383091,2741.3798828125,7431200000,96.51000213623048,0
2020-03-12,4970.7880859375,53980357243,112.3471221923828,22134741655,9.60016632080078,444641540,2480.639892578125,8850810000,97.47000122070312,0
2020-03-13,5563.70703125,74156772075,133.20181274414062,27864623061,10.833057403564451,681143272,2711.02001953125,8299070000,98.75,0
2020-03-16,5014.47998046875,45368026430,110.60587310791016,15984904590,9.3860502243042,314940366,2386.1298828125,7805450000,98.08999633789062,0
2020-03-17,5225.62939453125,38622642935,113.9427490234375,12087490572,10.07717514038086,288591005,2529.18994140625,8370250000,99.58000183105467,0
2020-03-18,5238.4384765625,37878801016,114.84226989746094,11617854009,10.119136810302734,264539835,2398.10009765625,8799300000,101.16000366210938,0
2020-03-19,6191.19287109375,51000731797,136.59385681152344,16396753275,12.279640197753906,407534104,2409.389892578125,7956100000,102.76000213623048,0
2020-03-20,6198.7783203125,54442976103,132.73716735839844,18960388062,11.875866889953612,433929425,2304.919921875,9053950000,102.81999969482422,0
2020-03-23,6416.31494140625,46491916000,134.91160583496094,14149877968,12.117714881896973,359015601,2237.39990234375,7411380000,102.48999786376952,0
2020-03-24,6734.8037109375,48221910672,138.76144409179688,14609068673,12.401220321655272,333522129,2447.330078125,7563150000,101.73999786376952,0
2020-03-25,6681.06298828125,44590107888,136.19589233398438,13433092920,12.324299812316896,288895593,2475.56005859375,8300010000,101.0500030517578,0
2020-03-26,6716.4404296875,35319797642,138.36155700683594,11367261176,13.217611312866213,299218749,2630.070068359375,7766990000,99.41999816894533,0
2020-03-27,6469.79833984375,34585598367,133.9379425048828,11396286629,12.5232572555542,263730266,2541.469970703125,6201670000,98.37000274658205,0
2020-03-30,6429.841796875,37101651525,132.904541015625,11841123306,12.286843299865724,305631180,2626.64990234375,5751120000,99.18000030517578,0
2020-03-31,6438.64453125,32786468812,133.59356689453125,11065246317,12.581605911254885,372566080,2584.590087890625,6576210000,99.0500030517578,0
2020-04-01,6606.7763671875,40346426266,135.63455200195312,12456564435,12.741602897644045,332222983,2470.5,5964000000,99.66999816894533,0
2020-04-02,6793.62451171875,47660646124,142.02914428710938,15322861686,13.066638946533203,398592822,2526.89990234375,6464190000,100.18000030517578,0
