Date,BTC_Close_log_return
2020-01-10,-0.0027417352722781
2020-01-13,0.0805965063783667
2020-01-14,-0.0023537488141357
2020-01-15,-0.0094947463248592
2020-01-16,0.0232553387156401
2020-01-17,-0.0207242781123775
2020-01-21,-0.007461951294768
2020-01-22,-0.0321153677231954
2020-01-23,0.0046189330082945
2020-01-24,0.0535279569027258
2020-01-27,0.049140656693548
2020-01-28,-0.0044936586728142
2020-01-29,0.0204370369180801
2020-01-30,-0.0168050486759412
2020-01-31,-0.0061154081625973
2020-02-03,-0.0121854536490776
2020-02-04,0.0460283479927525
2020-02-05,0.0120330844939429
2020-02-06,0.006774835392772
2020-02-07,0.0061740737967538
2020-02-10,0.0350524467462707
2020-02-11,0.011475404940052
2020-02-12,-0.0108737626421834
2020-02-13,0.0095230151606993
2020-02-14,-0.0166347028422139
2020-02-18,-0.0514499840432895
2020-02-19,-0.0025892656683303
2020-02-20,0.0080815320097119
2020-02-21,-0.0037510848528392
2020-02-24,-0.0324872375384524
2020-02-25,-0.0574076879254873
2020-02-26,-0.0040929663884492
2020-02-27,-0.0128362177683372
2020-02-28,0.0224856627211768
2020-03-02,-0.0092747648117554
2020-03-03,-0.0037097436703969
2020-03-04,0.0362848420114212
2020-03-05,0.0048110043680747
2020-03-06,-0.1408976525914211
2020-03-09,-0.001757685080185
2020-03-10,0.0002149884883273
2020-03-11,-0.4647301753397729
2020-03-12,0.1126862221975449
2020-03-13,-0.1039348951248462
2020-03-16,0.0412455256701917
2020-03-17,0.0024482043860695
2020-03-18,0.1671043242496126
2020-03-19,0.0012244500086869
2020-03-20,0.0344917287128044
2020-03-23,0.0484447085736408
2020-03-24,-0.0080115599397208
2020-03-25,0.005281211361417
2020-03-26,-0.0374133766993111
2020-03-27,-0.0061950054936688
2020-03-30,0.0013681074096151
2020-03-31,0.0257778031656759
2020-04-01,0.0278887559659614
2020-04-02,-0.0089062838293482
2020-04-03,0.0769229585383317
2020-04-06,-0.0132013831407586
2020-04-07,0.0217346261162095
2020-04-08,-0.0043739979839617
2020-04-09,-0.0646365688375548
2020-04-13,-0.0003813508563592
2020-04-14,-0.0297129370766832
2020-04-15,0.0690291127264351
2020-04-16,-0.0029015210954838
2020-04-17,-0.0306539785757339
2020-04-20,-0.0002376428480456
2020-04-21,0.033849812461733
2020-04-22,0.0429733471762611
2020-04-23,0.0161780844964256
2020-04-24,0.031892731911706
2020-04-27,0.0014686626299017
2020-04-28,0.119841406444289
2020-04-29,-0.0163219781859235
2020-04-30,0.0235369104465703
2020-05-01,0.0053874869042536
2020-05-04,0.0100935669896452
2020-05-05,0.0290841262398248
2020-05-06,0.0710753668546627
2020-05-07,-0.0109985471722912
2020-05-08,-0.1347556040565574
2020-05-11,0.0232893964825246
2020-05-12,0.0515216067309946
2020-05-13,0.0488143083365274
2020-05-14,-0.0425545413366307
2020-05-15,0.041820073127624
2020-05-18,0.0002531804680276
2020-05-19,-0.0214070538650415
2020-05-20,-0.0474397811200526
2020-05-21,0.0110397046754223
2020-05-22,-0.0385808258006759
2020-05-26,0.0384109712226946
2020-05-27,0.0368607148089735
2020-05-28,-0.0091355788641862
2020-05-29,0.0743104135689065
2020-06-01,-0.0647494748028366
2020-06-02,0.0132296949908962
2020-06-03,0.0147935393856525
2020-06-04,-0.0138810752726639
2020-06-05,0.0109026065544132
2020-06-08,0.0024746476660235
2020-06-09,0.0075659170073052
2020-06-10,-0.0571557191412842
2020-06-11,0.016919583790144
2020-06-12,-0.0031842753035456
2020-06-15,0.0091973393680267
2020-06-16,-0.0060751772572968
2020-06-17,-0.0072426439750119
2020-06-18,-0.0132433162041455
2020-06-19,0.038099791204587
2020-06-22,-0.0019773010491619
2020-06-23,-0.0333709232737798
2020-06-24,-0.0052530814953213
2020-06-25,-0.0110590439869026
2020-06-26,0.0030442291982976
2020-06-29,-0.0057681176339668
2020-06-30,0.009836784692078
2020-07-01,-0.0114339249180112
2020-07-02,0.0272535407382861
2020-07-06,-0.0132274750284945
2020-07-07,0.0188495850546219
2020-07-08,-0.0160767727161909
2020-07-09,9.051613040455208e-05
