Date,BTC_Close,BTC_Volume,ETH_Close,ETH_Volume,BNB_Close,BNB_Volume,SP500_Close,SP500_Volume,DXY_Close,DXY_Volume,BTC_Close_log_return,ETH_Close_log_return,BNB_Close_log_return,SP500_Close_log_return,DXY_Close_log_return
2020-01-02,6985.47021484375,20802083465,127.4101791381836,8032709256,13.027010917663574,156376427,3257.85009765625,3459930000,96.8499984741211,0,,,,,
2020-01-03,7344.88427734375,28111481032,134.1717071533203,10476845358,13.660451889038086,173683857,3234.85009765625,3484700000,96.83999633789062,0,0.050171745960031294,0.05170873733930889,0.04747996998948231,-0.007084909364954553,-0.00010327984415574736
2020-01-06,7769.21923828125,23276261598,144.3041534423828,9093747121,14.957807540893556,224800409,3246.280029296875,3702460000,96.66999816894533,0,0.05616562099224607,0.07280287242064724,0.09072847226882348,0.003527145194272564,-0.0017569967185529268
2020-01-07,8163.6923828125,28767291327,143.5439910888672,9257954672,15.009249687194824,191948560,3237.179931640625,3435910000,96.9800033569336,0,0.04952688932640552,-0.005281702419175781,0.0034332498142636172,-0.0028071750845948405,0.0032017087566832618
2020-01-08,8079.86279296875,31672559265,141.2581329345703,9387194957,14.602933883666992,183632222,3253.050048828125,3726840000,97.3000030517578,0,-0.010321673202805576,-0.01605259966408529,-0.027444197404841875,0.004890473485641129,0.003294214264470673
2020-01-09,7879.0712890625,24045990466,138.9792022705078,7697325348,14.498313903808594,169699829,3274.699951171875,3641230000,97.4499969482422,0,-0.02516485111441786,-0.016264648684096536,-0.007190099293215188,0.006633214116906491,0.0015403740810536145
2020-01-10,8166.55419921875,28714583844,143.96377563476562,9084816203,15.025826454162598,200173072,3265.35009765625,3214580000,97.36000061035156,0,0.0358370170573265,0.035237411855320956,0.035738124008026104,-0.0028592624875049015,-0.0009239396891403697
2020-01-13,8144.1943359375,22482910688,144.22659301757812,8378529470,15.227272033691406,211785744,3288.1298828125,3459390000,97.3499984741211,0,-0.0027417352722781674,0.0018239156075918663,0.013317548740863158,0.006951994045933256,-0.00010273880423501726
2020-01-14,8827.7646484375,44841784107,165.95535278320312,16712318373,16.626121520996094,299316969,3283.14990234375,3687620000,97.37000274658205,0,0.0805965063783667,0.140333167597574,0.08788701125801446,-0.0015156808368957204,0.00020546705429263886
2020-01-15,8807.0107421875,40102834650,166.23068237304688,15173694057,17.65481185913086,380806616,3289.2900390625,3721490000,97.2300033569336,0,-0.0023537488141357047,0.0016576834890892594,0.060033328626944896,0.0018684502436879626,-0.0014388428510841312
2020-01-16,8723.7861328125,31313981931,164.39100646972656,13735193018,17.076946258544922,260423404,3316.81005859375,3540580000,97.31999969482422,0,-0.009494746324859216,-0.011128700578588896,-0.03327899091090329,0.008331747422232019,0.000925174432261699
