Date,"SP500_('Close', '^GSPC')","SP500_('Volume', '^GSPC')"
2020-01-02,3257.85009765625,3459930000
2020-01-03,3234.85009765625,3484700000
2020-01-06,3246.280029296875,3702460000
2020-01-07,3237.179931640625,3435910000
2020-01-08,3253.050048828125,3726840000
2020-01-09,3274.699951171875,3641230000
2020-01-10,3265.35009765625,3214580000
2020-01-13,3288.1298828125,3459390000
2020-01-14,3283.14990234375,3687620000
2020-01-15,3289.2900390625,3721490000
2020-01-16,3316.81005859375,3540580000
2020-01-17,3329.6201171875,3726220000
2020-01-21,3320.7900390625,4104840000
2020-01-22,3321.75,3623780000
2020-01-23,3325.5400390625,3766710000
2020-01-24,3295.469970703125,3708780000
2020-01-27,3243.6298828125,3831050000
2020-01-28,3276.239990234375,3531570000
2020-01-29,3273.39990234375,3600250000
2020-01-30,3283.659912109375,3790350000
2020-01-31,3225.52001953125,4529700000
2020-02-03,3248.919921875,3760460000
2020-02-04,3297.590087890625,3996900000
2020-02-05,3334.68994140625,4121480000
2020-02-06,3345.780029296875,3887250000
2020-02-07,3327.7099609375,3733920000
2020-02-10,3352.090087890625,3462730000
2020-02-11,3357.75,3762940000
2020-02-12,3379.449951171875,3930910000
2020-02-13,3373.93994140625,3500890000
2020-02-14,3380.159912109375,3419700000
2020-02-18,3370.2900390625,3750400000
2020-02-19,3386.14990234375,3614200000
2020-02-20,3373.22998046875,4019180000
2020-02-21,3337.75,3908780000
2020-02-24,3225.889892578125,4851160000
2020-02-25,3128.2099609375,5596760000
2020-02-26,3116.389892578125,5484650000
2020-02-27,2978.760009765625,7064710000
2020-02-28,2954.219970703125,8569570000
2020-03-02,3090.22998046875,6381330000
2020-03-03,3003.3701171875,6376510000
2020-03-04,3130.1201171875,5073020000
2020-03-05,3023.93994140625,5579290000
2020-03-06,2972.3701171875,6555240000
2020-03-09,2746.56005859375,8441290000
2020-03-10,2882.22998046875,7642040000
2020-03-11,2741.3798828125,7431200000
2020-03-12,2480.639892578125,8850810000
2020-03-13,2711.02001953125,8299070000
2020-03-16,2386.1298828125,7805450000
2020-03-17,2529.18994140625,8370250000
2020-03-18,2398.10009765625,8799300000
2020-03-19,2409.389892578125,7956100000
2020-03-20,2304.919921875,9053950000
2020-03-23,2237.39990234375,7411380000
2020-03-24,2447.330078125,7563150000
2020-03-25,2475.56005859375,8300010000
2020-03-26,2630.070068359375,7766990000
2020-03-27,2541.469970703125,6201670000
2020-03-30,2626.64990234375,5751120000
2020-03-31,2584.590087890625,6576210000
2020-04-01,2470.5,5964000000
2020-04-02,2526.89990234375,6464190000
2020-04-03,2488.64990234375,6096970000
2020-04-06,2663.679931640625,6403840000
2020-04-07,2659.409912109375,7050410000
