Date,"BNB_('Close', 'BNB-USD')","BNB_('Volume', 'BNB-USD')"
2020-01-01,13.689083099365234,172980718
2020-01-02,13.027010917663574,156376427
2020-01-03,13.660451889038086,173683857
2020-01-04,13.891511917114258,182230374
2020-01-05,14.111019134521484,202552703
2020-01-06,14.957807540893555,224800409
2020-01-07,15.009249687194824,191948560
2020-01-08,14.602933883666992,183632222
2020-01-09,14.498313903808594,169699829
2020-01-10,15.025826454162598,200173072
2020-01-11,14.946328163146973,201663503
2020-01-12,15.322083473205566,231150158
2020-01-13,15.227272033691406,211785744
2020-01-14,16.626121520996094,299316969
2020-01-15,17.65481185913086,380806616
2020-01-16,17.076946258544922,260423404
2020-01-17,18.13519859313965,347229168
2020-01-18,17.82391929626465,257317647
2020-01-19,17.369253158569336,266285621
2020-01-20,17.325275421142578,245125919
2020-01-21,18.127666473388672,295922233
2020-01-22,17.79836082458496,237634401
2020-01-23,17.021404266357422,221009513
2020-01-24,17.047409057617188,213341615
2020-01-25,16.976106643676758,208315919
2020-01-26,17.43863296508789,248646036
2020-01-27,17.691341400146484,227584506
2020-01-28,18.115135192871094,257579475
2020-01-29,17.912776947021484,221674739
2020-01-30,18.590408325195312,264686498
2020-01-31,18.210979461669922,245035922
2020-02-01,18.218320846557617,238461925
2020-02-02,18.448184967041016,256209045
2020-02-03,18.46275520324707,227749150
2020-02-04,18.177366256713867,213533737
2020-02-05,19.215049743652344,301486499
2020-02-06,20.59526252746582,394704716
2020-02-07,22.062257766723633,485529457
2020-02-08,21.782419204711914,376067881
2020-02-09,24.308561325073242,523664695
2020-02-10,25.21831512451172,730144278
2020-02-11,25.63740348815918,567226060
2020-02-12,26.46676254272461,492328618
2020-02-13,25.440099716186523,463998187
2020-02-14,26.296958923339844,471534694
2020-02-15,24.14965057373047,454859713
2020-02-16,23.466388702392578,471225913
2020-02-17,23.55137825012207,418783808
2020-02-18,24.058177947998047,392689678
2020-02-19,22.333511352539062,298250332
2020-02-20,22.22914695739746,358656850
2020-02-21,22.184877395629883,396181352
2020-02-22,21.968481063842773,328794302
2020-02-23,22.82887077331543,439036993
2020-02-24,22.044126510620117,357640680
2020-02-25,20.342470169067383,356163893
2020-02-26,18.799131393432617,443909390
2020-02-27,19.122568130493164,406092296
2020-02-28,18.85483741760254,461435237
2020-02-29,19.584091186523438,584219366
2020-03-01,18.963232040405273,380913102
2020-03-02,19.814064025878906,428747453
2020-03-03,19.637189865112305,355662760
2020-03-04,19.95918846130371,363898093
2020-03-05,20.802030563354492,424802925
2020-03-06,21.288389205932617,449180749
2020-03-07,20.179567337036133,337204407
2020-03-08,16.97406578063965,365362955
2020-03-09,16.570743560791016,417649798
2020-03-10,16.875654220581055,360300206
2020-03-11,16.52483367919922,288383091
2020-03-12,9.600166320800781,444641540
2020-03-13,10.833057403564453,681143272
2020-03-14,10.140448570251465,301943026
2020-03-15,10.436017990112305,336142093
2020-03-16,9.3860502243042,314940366
2020-03-17,10.07717514038086,288591005
2020-03-18,10.119136810302734,264539835
2020-03-19,12.279640197753906,407534104
2020-03-20,11.875866889953613,433929425
2020-03-21,12.057991027832031,386174572
2020-03-22,11.158227920532227,308670064
2020-03-23,12.117714881896973,359015601
2020-03-24,12.401220321655273,333522129
2020-03-25,12.324299812316895,288895593
2020-03-26,13.217611312866211,299218749
